,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,2.956106662750244,0.08920940067115422,0.04883623123168945,0.01015578520186355,True,0.01,3,100,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.6542212684275757,0.7582910271781248,0.6398784968192912,0.5841999576217445,0.7407689619199214,0.5973474164861455,0.5568630681362086,0.20361276461163313,0.5842002406236553,0.6471345483929805,0.596651775021728,0.14525897395169618,1,0.9545454545454546,0.9888888888888889,0.9625000000000001,0.9846153846153847,0.9187500000000001,0.8831168831168831,0.9846153846153847,0.7777777777777778,0.8888888888888888,0.925,0.9268698662448663,0.06181072011979083,12
4,6.994783711433411,0.4408258839153796,0.05672047138214111,0.011284641833695116,True,0.01,6,200,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.6730923603753344,0.7722937015523644,0.6323510324365331,0.5299864605585869,0.7552338142435525,0.5810681605113523,0.5615139395064837,0.17357092344442748,0.6017345960723854,0.6279657109986052,0.5908810699699626,0.15770495379864138,2,0.9659090909090909,0.9888888888888889,0.9625000000000001,0.9692307692307693,0.9,0.8571428571428572,0.9846153846153847,0.7777777777777778,0.9012345679012347,0.95,0.9257299336466003,0.06384386513706042,13
2,8.247569298744201,0.37461875915927084,0.08288953304290772,0.009068321251478448,True,0.01,3,300,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.6786041948751049,0.7554534012209793,0.6094807328825751,0.5232968654236447,0.7551718052023253,0.5737394734430294,0.5671842291781679,0.19132165301897242,0.5989610130512273,0.6527883780265666,0.5906001746322593,0.15201464739381285,3,0.9772727272727273,0.9777777777777779,0.9625000000000001,0.9538461538461539,0.89375,0.8571428571428572,1.0,0.7654320987654321,0.9012345679012347,0.9375,0.9226456182706183,0.06714906291684902,16
7,6.916622352600098,0.2605214167651808,0.0533860445022583,0.006314250480681342,True,0.01,9,200,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.656487393897693,0.7645350474817634,0.625400610664383,0.5288672265480707,0.7531772518251204,0.5714616383377848,0.5828474975699494,0.1666275045878377,0.5988431264191483,0.63396929076907,0.5882216588100821,0.15751801945894256,4,0.9545454545454546,0.9888888888888889,0.9625000000000001,0.9538461538461539,0.875,0.8441558441558441,1.0,0.7654320987654321,0.9012345679012346,0.9375,0.9183103008103007,0.06898499275087569,17
3,3.5770157098770143,0.2035020330478405,0.04068160057067871,0.0063633320274268474,True,0.01,6,100,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.654496068802614,0.7895894918584554,0.6490702257807939,0.4954898126803847,0.7535067523542346,0.5668132566753115,0.5741117764581466,0.17392325655426033,0.5862556277650242,0.6364168121965212,0.5879673081125747,0.16099340758623676,5,0.9659090909090909,1.0,0.9625000000000001,0.9692307692307693,0.89375,0.8441558441558441,1.0,0.7777777777777778,0.888888888888889,0.95,0.925221237096237,0.06884868212472108,14
12,3.292940139770508,0.11881373887171633,0.036794281005859374,0.007076021786378652,True,0.1,6,100,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.6258352945503431,0.7260546908043763,0.49222753164460276,0.5107283526551047,0.7643379770296986,0.6236402938909318,0.5339170180270556,0.2905592679662403,0.5923000133342463,0.7110987180226525,0.5870699157925252,0.13212050748300622,6,0.9715909090909092,0.9388888888888889,0.95,0.9307692307692308,0.93125,0.9675324675324675,0.923076923076923,0.8518518518518519,0.8765432098765431,0.975,0.9316503481086814,0.03824932728076681,9
13,6.545791697502136,0.21015784633770826,0.05686593055725098,0.008281756528281847,True,0.1,6,200,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.620868444314798,0.7182268878016791,0.503710978903481,0.5210343296031463,0.7645752259396827,0.6379509901489446,0.5324323568845484,0.28815212634700815,0.595955111701796,0.6797285712513867,0.5862635022896472,0.1283534571012641,7,0.9715909090909092,0.9388888888888889,0.95,0.9307692307692308,0.9812500000000001,0.9675324675324675,0.9153846153846154,0.8580246913580247,0.9197530864197531,0.975,0.9408193889443888,0.035493828178887604,4
1,5.84744668006897,0.2034279845803805,0.0630037546157837,0.0043646427244511095,True,0.01,3,200,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.685799392474123,0.7450513353751016,0.6263313740901202,0.4923241119246705,0.7441010621428286,0.5784812197293357,0.5491187348033325,0.20210525829982606,0.5934360290135436,0.6445540141646706,0.5861302532017552,0.1493086111193277,8,0.9659090909090909,0.9777777777777779,0.9625000000000001,0.9538461538461539,0.875,0.8441558441558441,1.0,0.7901234567901234,0.9012345679012346,0.9625,0.9233046891380224,0.0644144103085158,15
6,3.4081783056259156,0.24335467286746146,0.03538482189178467,0.008599864306302305,True,0.01,9,100,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.7046755310196298,0.7750170218119334,0.6092976856516845,0.5133334045940057,0.7470516561854155,0.5827035999617411,0.5202323999252001,0.19083383734724024,0.6101334562322467,0.6071038535063233,0.5860382446235419,0.15591423594292753,9,0.9772727272727273,0.9888888888888889,0.9500000000000001,0.9384615384615385,0.9375,0.8701298701298701,0.9846153846153847,0.7777777777777778,0.9382716049382716,0.9125,0.9275417792084457,0.060235851609140904,10
15,3.4340632438659666,0.1824574575866807,0.03996882438659668,0.007448050204464867,True,0.1,9,100,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.6283061210055785,0.7091840301731499,0.4984710262558931,0.5075227120799382,0.7642047711507486,0.6503221371490671,0.5314789711229994,0.27629809608621114,0.5873267047421151,0.7036544664882656,0.5856769036253967,0.13394383095596743,10,0.9715909090909092,0.9388888888888889,0.9375,0.9384615384615385,0.93125,0.9675324675324675,0.9153846153846154,0.8765432098765432,0.8765432098765431,0.975,0.9328694839111504,0.033493938594614144,7
17,9.851794457435608,0.19567698288783247,0.07933127880096436,0.0038661286754670277,True,0.1,9,300,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.626006537269367,0.7076361906182138,0.5045090158088426,0.5152520255407929,0.7649511427685917,0.6272834713474592,0.5322821090510724,0.2898512300820687,0.5914381616110416,0.6919191979999293,0.5851129082097379,0.12790624117364968,11,0.9772727272727273,0.9777777777777779,0.9375,0.9307692307692308,0.9812500000000001,0.9675324675324675,0.9153846153846155,0.8395061728395061,0.8950617283950617,0.975,0.9397054719971386,0.043949949153228154,5
9,2.658929538726807,0.06601171457153497,0.035947322845458984,0.0054289508083224655,True,0.1,3,100,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.6413206209201101,0.7067721441827914,0.5002310886380765,0.5231397680379652,0.7652500674599769,0.6217384548357737,0.5373632991154687,0.2936773030385884,0.588194206432691,0.6706626679740395,0.5848349620635482,0.12543481066060702,12,0.9715909090909092,0.9388888888888889,0.95,0.9307692307692308,0.9375,0.9675324675324675,0.9153846153846154,0.8765432098765432,0.8765432098765431,0.975,0.9339752531419198,0.033867659813424,6
14,9.804474687576294,0.28891277251685665,0.0698354959487915,0.0055870324316134755,True,0.1,6,300,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.6244005276070543,0.7208773385403776,0.5004472912559139,0.5103083531383057,0.762878438930492,0.6352384391209366,0.5314848133106975,0.2882801783797826,0.5956041818887461,0.6787332496269503,0.5848252811799257,0.12911711289146888,13,0.9715909090909092,0.9777777777777779,0.95,0.9538461538461538,0.9812500000000001,0.9675324675324675,0.9153846153846155,0.8395061728395061,0.9320987654320988,0.975,0.9463986861903528,0.04093822833363993,1
5,10.234769058227538,0.5361964561078278,0.07622225284576416,0.008781297066296458,True,0.01,6,300,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.6417390802207521,0.7561180863452769,0.6286886654620751,0.5228299789583941,0.7558166611664425,0.5949874501114065,0.5553758701925735,0.1653548189906574,0.5844773072385041,0.6392520464850531,0.5844639965171134,0.15731273513804603,14,0.9545454545454546,0.9888888888888889,0.9500000000000001,0.9538461538461539,0.88125,0.8831168831168832,0.9846153846153847,0.7654320987654322,0.8641975308641976,0.9375,0.9163392394642396,0.06496082995851615,18
8,10.123857235908508,0.5093080366962578,0.08288977146148682,0.00997677412721668,True,0.01,9,300,"{'bootstrap': True, 'ccp_alpha': 0.01, 'max_depth': 9, 'n_estimators': 300}",0.6723202076105386,0.7477896577804223,0.6344336942133747,0.5187492092637332,0.759883985927923,0.5912505411384783,0.5331663665876906,0.16848289127587457,0.5917567662632308,0.6251024662884519,0.5842935786349717,0.15792521183353456,15,0.9545454545454546,0.9888888888888889,0.9625000000000001,0.9538461538461539,0.9,0.8831168831168832,1.0,0.7901234567901234,0.888888888888889,0.95,0.9271909726076393,0.05938851801785054,11
11,7.701560807228089,0.16155810093279688,0.07715294361114503,0.009635809143114907,True,0.1,3,300,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.6239653924132582,0.7117792315126676,0.505844185895867,0.511334644971891,0.7649225669577608,0.6186810235106652,0.5403052021713465,0.29100110625311637,0.5909602728422447,0.6746226013139189,0.5833416227842737,0.12619954519657745,16,0.9772727272727273,0.9777777777777779,0.9375,0.9538461538461538,0.9812500000000001,0.9675324675324675,0.9153846153846155,0.8580246913580246,0.8950617283950617,0.975,0.9438650161566828,0.039868427457786015,2
16,6.602516436576844,0.13318816623131974,0.055588364601135254,0.006778618898297437,True,0.1,9,200,"{'bootstrap': True, 'ccp_alpha': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.6294822109210845,0.7018732922441853,0.48812962622426603,0.5097303904063638,0.7625925819414066,0.6262471229394583,0.5353898252060568,0.304398913783968,0.5933833016785439,0.6683998339807157,0.5819627099326048,0.12331243532501555,17,0.9772727272727273,0.9388888888888889,0.95,0.9307692307692308,0.9812500000000001,0.9675324675324675,0.9307692307692308,0.8703703703703705,0.9074074074074074,0.975,0.9429260323010323,0.03342222314547225,3
